id,category,description,source_section,source_lines,priority,acceptance_criteria
REQ-001,Voter Integration,Excel upload of voter list -> master database,3.1,"L26-L36",High,"Master list uploads successful; uploaded records searchable; master fields non-editable"
REQ-002,Search & ID,Search by name/mobile/Aadhaar and open voter profile,3.2,"L37-L52",High,"Search returns correct profile within 2 sec; staff can update allowed fields"
REQ-003,Service Requests,Create service requests against voter profiles,3.3,"L55-L62",High,"Office user can create request; service appears in admin list"
REQ-004,Work Status,Status workflow & history,3.4,"L62-L71",High,"Status changes recorded with timestamp; history view shows full audit trail"
REQ-005,Automated Comms,Trigger WhatsApp/SMS/AI call on status change,3.5,"L71-L83",High,"Messages sent to registered mobile; template populated with name/service/status"
REQ-006,User Roles,Admin and Office User roles + RBAC,4,"L88-L101",High,"Admins can manage services and upload lists; office users limited to search/create/update"
REQ-007,Family Mapping,Family head and member linking rules,5,"L101-L111",Medium,"Family tree shows correct links; only master list used for linking"
REQ-008,Bday/Anniv,Automated birthday & anniversary messages,6,"L129-L142",Medium,"Scheduled messages sent on date; reports show delivered/pending"
REQ-009,Form Builder,No-code dynamic form creation,7,"L143-L155",Medium,"Admin creates form and it's immediately available for data entry"
REQ-010,Reporting,Dashboards, filters and exports,8,"L156-L195",High,"Exports generate correct CSV/PDF; filters return accurate counts"
REQ-011,Integrations,WhatsApp/SMS/AI voice APIs,9,"L196-L203",High,"Integration tested end-to-end; log contains delivery status and failure reasons"
REQ-012,Security,Secure login + audit logs,4/8,"L98-L101; L186-L191",High,"RBAC enforced; audit logs capture data entry and status updates"
